date,symbol,action,reason,price,qty,pnl
2016-02-22,KO,skip,low_score_0.31,31.870227813720703,,
2016-03-08,KO,skip,low_score_0.41,32.14584732055664,,
2016-03-09,KO,skip,low_score_0.39,32.50125503540039,,
2016-03-10,KO,buy,score_0.56_ml_0.50_regime_bull,32.82229207420349,609.0,
2016-03-29,META,buy,score_0.56_ml_0.50_regime_bull,115.29331273269652,157.0,
2016-03-30,NVDA,buy,score_0.64_ml_0.50_regime_bull,0.8758469501137733,17555.0,
2016-04-01,JNJ,skip,low_score_0.40,82.93565368652344,,
2016-04-08,META,sell,stop_loss,110.44067378595267,157.0,-770.53
2016-04-13,V,buy,score_0.62_ml_0.50_regime_bull,74.34677089691162,269.0,
2016-04-15,KO,sell,time_stop,33.680813522338866,609.0,512.58
2016-04-15,MSFT,skip,low_score_0.43,48.965824127197266,,
2016-04-15,JNJ,skip,low_score_0.49,83.68759155273438,,
2016-04-18,GOOGL,skip,low_score_0.49,39.061161041259766,,
2016-04-19,JNJ,buy,score_0.55_ml_0.50_regime_bull,85.62926479339599,234.0,
2016-04-22,AMD,skip,low_score_0.47,3.990000009536743,,
2016-04-26,IWM,skip,low_score_0.49,100.62369537353516,,
2016-04-27,MA,buy,score_0.56_ml_0.50_regime_bull,92.76087294387817,215.0,
2016-04-28,META,skip,low_score_0.35,115.82110595703125,,
2016-04-29,V,sell,stop_loss,71.92748627736144,269.0,-660.46
2016-05-04,NVDA,sell,time_stop,0.8505037360489369,17555.0,-452.37
2016-05-04,MA,sell,stop_loss,89.99067096428787,215.0,-605.27
2016-05-10,AMZN,skip,low_score_0.40,35.153499603271484,,
2016-05-11,AMZN,skip,low_score_0.42,35.6614990234375,,
2016-05-13,NVDA,skip,low_score_0.45,1.003196120262146,,
2016-05-16,NVDA,skip,low_score_0.46,1.0328166484832764,,
2016-05-17,NVDA,skip,low_score_0.41,1.0350195169448853,,
2016-05-18,NVDA,skip,low_score_0.39,1.0614582300186157,,
2016-05-23,AMD,buy,score_0.80_ml_0.50_regime_bull,4.042019961833954,1794.0,
2016-05-24,JNJ,sell,time_stop,86.16210522079469,234.0,114.6
2016-05-25,JPM,buy,score_0.51_ml_0.50_regime_bull,50.240767925262446,391.0,
2016-05-31,IWM,skip,low_score_0.25,101.14263153076172,,
2016-06-06,V,skip,low_score_0.28,75.21633911132812,,
2016-06-08,V,skip,low_score_0.30,76.25299835205078,,
2016-06-08,MA,skip,low_score_0.26,92.34696197509766,,
2016-06-10,KO,skip,low_score_0.22,33.61726760864258,,
2016-06-14,JPM,sell,stop_loss,48.36633520704358,391.0,-742.36
2016-06-16,PG,skip,low_score_0.29,63.49876022338867,,
2016-06-20,AMD,sell,take_profit,5.269115932148605,1794.0,2196.68
2016-06-23,PG,skip,low_score_0.29,64.10780334472656,,
2016-06-29,JNJ,skip,low_score_0.34,91.2846450805664,,
2016-06-30,JNJ,skip,low_score_0.37,92.7916259765625,,
2016-06-30,PG,skip,low_score_0.33,64.4579849243164,,
2016-07-01,PG,skip,low_score_0.30,64.54171752929688,,
2016-07-05,JNJ,skip,low_score_0.35,93.53367614746094,,
2016-07-05,PG,skip,low_score_0.34,65.04415893554688,,
2016-07-06,AMZN,skip,low_score_0.49,36.88050079345703,,
2016-07-06,JNJ,skip,low_score_0.35,93.81670379638672,,
2016-07-08,NVDA,buy,score_0.65_ml_0.50_regime_bull,1.2486705406308174,12174.0,
2016-07-12,IWM,skip,low_score_0.29,105.87216186523438,,
2016-07-14,JPM,skip,low_score_0.28,49.525238037109375,,
2016-07-18,AMD,skip,low_score_0.34,5.510000228881836,,
2016-07-19,JNJ,skip,low_score_0.36,95.81330108642578,,
2016-07-22,AMD,skip,low_score_0.48,5.840000152587891,,
2016-07-22,V,skip,low_score_0.24,74.62802124023438,,
2016-07-25,AMD,skip,low_score_0.48,6.699999809265137,,
2016-07-26,AMD,skip,low_score_0.48,6.980000019073486,,
2016-07-27,META,buy,score_0.68_ml_0.50_regime_bull,122.44079795837402,165.0,
2016-07-27,QQQ,buy,score_0.57_ml_0.50_regime_bull,107.0898264427185,188.0,
2016-07-29,AMZN,buy,score_0.65_ml_0.50_regime_bull,37.9594686012268,535.0,
2016-08-01,IWM,skip,low_score_0.56,107.1544189453125,,
2016-08-01,PG,skip,low_score_0.46,66.298095703125,,
2016-08-02,PG,skip,low_score_0.50,66.56663513183594,,
2016-08-05,IWM,skip,low_score_0.51,108.15373992919922,,
2016-08-05,JPM,skip,low_score_0.63,51.209049224853516,,
2016-08-08,NVDA,sell,take_profit,1.431971263547102,12174.0,2222.79
2016-08-11,NVDA,buy,score_0.78_ml_0.50_regime_bull,1.4659909890890122,13377.0,
2016-08-12,PG,skip,low_score_0.45,66.78145599365234,,
2016-08-19,AMD,skip,low_score_0.80,7.619999885559082,,
2016-08-22,V,skip,low_score_0.47,75.8333511352539,,
2016-08-25,PG,skip,low_score_0.55,67.44129180908203,,
2016-08-26,AMD,skip,low_score_0.67,7.670000076293945,,
