Date,equity
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,100000.0
2016-03-02,100000.0
2016-03-03,100000.0
2016-03-04,100000.0
2016-03-07,100000.0
2016-03-08,100000.0
2016-03-09,100000.0
2016-03-10,100000.0
2016-03-11,100122.46484629536
2016-03-14,100162.52990214253
2016-03-15,100140.27179591084
2016-03-16,100055.68355814839
2016-03-17,100376.20632807637
2016-03-18,100300.53201929951
2016-03-21,100331.69011561299
2016-03-22,100256.0134836855
2016-03-23,100238.20885722066
2016-03-24,100291.63435236836
2016-03-28,100389.56444422627
2016-03-29,100692.26632563496
2016-03-30,100494.36859385556
2016-03-31,100245.07868148785
2016-04-01,100969.74369384747
2016-04-04,100299.26567073565
2016-04-05,100066.11833896142
2016-04-06,100399.83672328692
2016-04-07,100074.12275149327
2016-04-08,99931.10089101296
2016-04-11,99931.08009151515
2016-04-12,100007.37070904073
2016-04-13,100122.59420178231
2016-04-14,100207.57616879846
2016-04-15,100389.69872965719
2016-04-18,100643.98597602441
2016-04-19,100184.8021472533
2016-04-20,100485.20735925098
2016-04-21,100375.98558085819
2016-04-22,99850.06831395288
2016-04-25,99717.93692010303
2016-04-26,99721.9959677424
2016-04-27,100111.48142927547
2016-04-28,99048.99484355675
2016-04-29,98541.1444354199
2016-05-02,98989.19278883953
